id,Categories,Response,Further Responses,Notes,
,Math Dungeon,You must traverse the dungeon and defeat it’s mischievous inhabitants to challenge the Mighty Math Mage and unlock today’s secret word. When you are ready to begin ask me to move forward.,"[Move forward] You enter a training barracks. You encounter a pixie. They have spiky hair. To escape you must answer its riddle. If you need help say ""help"". A fairy has 4 pebbles. A dwarf has 2 pebbles. How many pebbles are there? [Six] A fairy has 4 pebbles. A dwarf has 2 pebbles. How many pebbles are there? [Six pebbles] You have solved the riddle! The creature laughs. You are able to proceed deeper into the dungeon. When you are ready to begin ask me to move forward. [Move forward] You move down the dungeon corrider until you reach an intersection. You can move either forward, left or right. [Move right] You move down the dungeon corrider until you reach an intersection. You can move either left or right. [Move left] You enter a training barracks. You encounter a kobold. They smell funny. To escape you must answer its riddle. A princess has 6 stones. A dwarf has 2 stones. How many stones are there? [Eight stones] You have solved the riddle! The creature snorts. You are able to proceed deeper into the dungeon. When you are ready to begin ask me to move forward. [Move forward] You move down the dungeon corrider until you reach an intersection. You can move either forward, left or right. [Move forward] You move down the dungeon corrider until you reach an intersection. You can move either forward, left or right.  You enter eerie catacombs. You encounter a kobold. They have shiny hair. To escape you must answer its riddle. A fairy has 8 stones. A king has 7 stones. How many stones are there? [Fifteen stones] You have solved the riddle! The creature freezes. You are able to proceed deeper into the dungeon. When you are ready to begin ask me to move forward. [Move forward] You move down the dungeon corrider until you reach an intersection. You can move either left or right. [Move left] You enter a training barracks. You encounter a hobgoblin. They smell funny. To escape you must answer its riddle. A wisp has 10 stones. A queen has 7 stones. How many stones are there? [Seventeen stones] You have solved the riddle! The creature freezes. You are able to proceed deeper into the dungeon. When you are ready to begin ask me to move forward. [Move forward]  You move down the dungeon corrider until you reach an intersection. You can move either left or right. [Move right] You move down the dungeon corrider until you reach an intersection. You can move either left or right. [Move left] ",,
,,,,,
,,,,,
,,,,,
B07FKN3NDT,Word Quiz,"B for ""Blackberries"" which is a fruit, ""Belarus"" which is a country and ""Bicycle"" which is a toy, Do you want to listen more? [Yes]  W for ""Watermelons"" which is a fruit and ""Wiffle Ball"" which is a toy, Do you want to listen more? [No]  See you again. Have a nice day! ","[Open word quiz] What is the definition of beguile. Is it one: embellish; increase the scope, power, or importance of, two: the act of coming closer, or three: influence by slyness? [Three] Correct!","The invocation phrase brings up a skill called ""Three Words"" rather than ""Word Quiz"" (Response here is from Three Words, while Additional Responses are from Word Quiz)",1 out of 5
B07RKWHP1R,Birthday Card,<Response is not transcribed - speaks a Happy Birthday message to Mom>,,Response is not transcribed by the console,1 out of 5
B075J6C9Z7,Animal of the Day,,,Flash briefing skill - cannot be opened in Developer Console,1 out of 5
B07PCHPP36,Spiritually Divine: Talk series at MUTTER GÃ–TTLICH,"Welcome back to the Spiritual Center. We urge you to strongly disagree with the content, think on your own and discover your own truth. That would be true guidance from the Himalayan Tradition. Now playing: Spiritually Divine: Talk series at MUTTER GÖTTLICH",,Audio portion not supported by Developer Console; repeat from this week,1 out of 5
B07JRHDD6G,Jokes,What's orange and sounds like a parrot? A carrot.,What’s a foot long and slippery? A slipper. What is red and smells like blue paint? Red paint. What’s brown and sticky? A stick. Why dont blind people skydive? Because it terrifies their dogs. ,"The skill name found by the invocation is Funny Jokes, not Jokes (i.e. Alexa will say ""Ok, here's Funny Jokes"" instead of ""Ok, here's Jokes"")",1 out of 5
B07T4281YT,Silly Trivia,Welcome To Internet Quiz One to four players can play. How many are playing?,"[One] Player 1, give me a nickname to call you, like Crazy Cat or Rocking Robin. [Crazy Cat] Hi Crazy Cat. Hi, hope you do great! To revise your player name, say 'undo'. Let's start. Answer quickly until you get 3 wrong! To undo an answer, say 'undo'. How to obtain lemonade Is the answer: 1. Buy it at the store2. Making it or 3. Squeeze lemon in water  [Three] You said 3. Squeeze lemon in water. Very close. The correct answer was Buy It At The Store. Only 2 wrong 2 answers left and you're out. Next Question: Which Amazon echos Aren't Real Is the answer: 1. Echo Dot2. Echo Dot Cube3. Amazon Alexa or 4. Echo Dot Kids [Three] You said 3. Amazon Alexa. Sorry, that's incorrect. The correct answer was Echo Dot Cube. Only 1 wrong 1 answer left and you're out. Next Question: Which of the following Peppa YTP's don't exist Is the answer: 1. Peppa Gets a Alexa ytp2. Peppa alternate Dimension Madness YTP3. Peppa gets escorted by Daddy dog Ytp or 4. Peppa breaks the computer YTP [One] Right on! You now have 1 point. We've run out of questions.  You finished with a score of 1 point. Don't give up, I know you can do it. Want to play again? ","Skill is called Silly Trivia, but instead contains content for ""Internet Quiz"" (False premise); Contains content that may be inappropriate for kids (References YTP, which is a form of YouTube content that typically uses a lot of crude humor)",1 out of 5
B07S8K6J5F,Family Quiz,This a quiz based on Family Relations. You are welcomed.One to four players can play. How many are playing?,"[one] Player 1, give me a nickname to call you, like Rocking Robin or Crazy Cat. [crazy cat] Hi Crazy Cat. Hope you are feeling well. Good Luck <Short audio> To revise your player name, say 'undo'. Let's start. Answer quickly until you get 3 wrong! To undo an answer, say 'undo'. What is your relation with Father of grandfather or father of grandmother ? [great grandfather] <Short audio> You said great-grandfather. Very close. The correct answer was Great Grandfather. Only 2 wrong 2 answers left and you're out. Next Question: What is your relation with Father's brother? [uncle] <Short audio> Good going! You now have 1 point. Next Question: What is your relation with Husband's brother or wife's brother? [brother-in-law] <Short audio> Great job! You now have 2 points. Next Question: What is your relation with Son's wife? [daughter in law] <Short audio> Right on! You now have 3 points. Next Question: What is your relation with Uncle's son or aunt's son? [cousin] <Short audio> Right on! You now have 4 points. Next Question: What is your relation with Father's son or mother's son? [sister] <Short audio> You said sister. Sorry. The correct answer was Brother. Only 1 wrong 1 answer left and you're out. Next Question: What is your relation with Brother's daughter or sister's daughter ? [word] <Short audio> You said word. Not quite. The correct answer was Niece. <Short audio> You finished with a score of 4 points. Don't despair, try again! <Short audio> Want to play again?",,1 out of 5
B082V18X4W,Constantly Sneeze,"Welcome, you can say Hello or Help. Which would you like to try?","[Hello] Welcome, you can say Hello or Help. Which would you like to try? [Help] You can say hello to me! How can I help? [Hello] You can say hello to me! How can I help? [Help] You can say hello to me! How can I help?",Skill not functional,1 out of 5
B079DNQPL4,Science Experiment,,,Skill not found,1 out of 5
B07D314KSX,The Lava Game,Welcome to the lave game. It looks like there will be a big volcano eruption today. Would you like to play? If so say yes.,"[yes] Okay get ready to find high ground. Three, two, one LAVA. Did you make it to the high ground? [yes] Would you like to play again? [yes] Okay get ready to find high ground. Three, two, one LAVA. Did you make it to the high ground? [no] I thought I smelled burning toe nails. Want to try again? [no] ""Come back tomorrow to play more of the lava game. I hear the volcano rumbling a lot. Just say, ""Alexa, open the Lava game"" to open the skill again.""",,1 out of 5
B0834K5HF5,Chore time,"It's chore time!. You can hear the chore list, log chores, or check the chore score. What would you like to do?","[chore list] Ok. Whose chores?? [who] Hm. I don't recognize that name from your list of household members. I have chore assignments for the following people: Israel , Lovey.. Whose chores do you want to hear? [lovey] Ok.. Lovey has 3 chores remaining for Wednesday: 1: Clean the room and make your bed, 2: Message, 3: Vacuum room and loft . Tackle those tasks!","Identical to ""Chore Chart"" and ""Chores"" which were tested previously, but it has another name",1 out of 5
B07V2CQXY8,How Many Days,"Another day closer! William Anderson's Birthday is on Sunday, February 28th, which is 200 days away. Mychael's Garnett's Birthday is on Monday, December 21st, which is 131 days away. Can't wait until the big day.",,Repeat from previous testing,1 out of 5
B078W33WQS,Perfect Ear Training,"Welcome, if you need help, say, help, otherwise, I'll ask you about notes c,g,b. are you ready?","[yes] <Short audio> What note is that [c] what note was it [c.] <No further response will occur no matter what, but skill does not exit>",Not functional,1 out of 5
B0842YVLQX,Spring Break,"Looks like Spring Break Vacation already occurred on April 11, 2020. You can update your Blueprint to make this event recurring. Bye for now.",,,1 out of 5
